id,lat,long,Coord,Place,State,City,Centroid Index,Centroid Lat,Centroid Long
0,43.9463549,-70.1192825,Latitude : 43.9463549 Longitude : -70.1192825,Royalsborough Inn,ME,Durham,3,43.7612513336822,-70.7861314374285
1,44.108673,-70.2148714,Latitude : 44.108673 Longitude : -70.2148714,Riverside Cemetary,ME,Lewiston,3,43.7612513336822,-70.7861314374285
2,43.6143735,-70.2131151,Latitude : 43.6143735 Longitude : -70.2131151,Beckett's Castle,ME,Cape Elizabeth,3,43.7612513336822,-70.7861314374285
3,43.8582211,-70.1026224,Latitude : 43.8582211 Longitude : -70.1026224,Jameson Tavern,ME,Freeport,3,43.7612513336822,-70.7861314374285
4,43.7355626,-70.4156038,Latitude : 43.7355626 Longitude : -70.4156038,Smith-Anderson Cemetary,ME,Windham,3,43.7612513336822,-70.7861314374285
5,43.7381665,-70.555441,Latitude : 43.7381665 Longitude : -70.555441,Old Red Church ,ME,Standish,3,43.7612513336822,-70.7861314374285
6,43.7983371,-70.2542786,Latitude : 43.7983371 Longitude : -70.2542786,Greely High School,ME,Cumberland,3,43.7612513336822,-70.7861314374285
7,44.011983,-70.978423,Latitude : 44.011983 Longitude : -70.978423,Admiral Peary Inn,ME,Fryeburg,3,43.7612513336822,-70.7861314374285
8,43.456411,-71.220617,Latitude : 43.456411 Longitude : -71.220617,Alton Town Hall,NH,Alton,3,43.7612513336822,-70.7861314374285
9,44.2568473,-71.4397775,Latitude : 44.2568473 Longitude : -71.4397775,The Mount Washington Hotel,NH,Bretton Woods,3,43.7612513336822,-70.7861314374285
10,43.9588815,-71.0846146,Latitude : 43.9588815 Longitude : -71.0846146,Stark Road Cemetary,NH,Conway,3,43.7612513336822,-70.7861314374285
11,43.1959288,-70.8742176,Latitude : 43.1959288 Longitude : -70.8742176,The Old Dover Mills,NH,Dover,3,43.7612513336822,-70.7861314374285
12,43.5843727,-71.382137,Latitude : 43.5843727 Longitude : -71.382137,Kimball Castel,NH,Guillford,3,43.7612513336822,-70.7861314374285
13,43.528193,-71.4700656,Latitude : 43.528193 Longitude : -71.4700656,The Colonial Theater,NH,Laconia,3,43.7612513336822,-70.7861314374285
14,43.6087448,-71.4597921,Latitude : 43.6087448 Longitude : -71.4597921,Winnipesaukee Marketplace,NH,Laconia,3,43.7612513336822,-70.7861314374285
